cluster,gene,auc,power
C2,NFIA,0.184,0.631
C2,PHLDA1,0.273,0.454
C2,NFIB,0.186,0.628
C2,TMSB10,0.276,0.447
C2,CALM2,0.581,0.163
C2,CFL1,0.669,0.338
C2,TUBA1C,0.411,0.179
C2,STMN1,0.536,0.071
C2,ARL6IP1,0.455,0.09
C2,EIF5A,0.537,0.075
C2,KNSTRN,0.496,0.008
C2,YWHAZ,0.474,0.052
C2,ACTG1,0.351,0.299
C2,THY1,0.508,0.016
C2,PSRC1,0.462,0.075
C2,PLK1,0.489,0.022
C2,TUBB4B,0.483,0.033
C2,TUBB2A,0.423,0.155
C2,AURKA,0.483,0.034
C2,FTH1,0.478,0.044
C2,CCNA2,0.542,0.083
C2,CDC20,0.563,0.126
C2,PTMS,0.494,0.012
C2,HN1,0.347,0.306
C2,DYNLL1,0.433,0.134
C2,YWHAB,0.54,0.08
C2,TROAP,0.461,0.078
C2,CCNB1,0.52,0.04
C2,MLLT11,0.51,0.019
C2,OLFM3,0.437,0.125
C2,ATP1A2,0.473,0.054
C2,CDO1,0.687,0.374
C2,RSPO3,0.4,0.2
C2,PAX6,0.543,0.086
C2,SDK2,0.627,0.254
C2,ITGA6,0.582,0.163
C2,GPR98,0.625,0.25
C2,RFX4,0.541,0.082
C2,EDNRB,0.585,0.17
C2,NTRK2,0.537,0.074
C2,RSPO2,0.426,0.147
C2,TMEM47,0.587,0.174
C2,CLU,0.52,0.039
C2,ADCY2,0.482,0.037
C2,GAS2L3,0.474,0.053
C2,NEK2,0.485,0.031
C2,KIF20A,0.483,0.034
C2,PIF1,0.418,0.164
C2,NDE1,0.465,0.069
C2,CEP55,0.472,0.057
C2,FAM72B,0.444,0.112
C2,KIF14,0.531,0.061
C2,GTSE1,0.49,0.02
C2,SGOL2,0.517,0.033
C2,CCNF,0.456,0.088
C2,FAM72A,0.474,0.052
C2,CCNB2,0.572,0.143
C2,CDCA8,0.511,0.023
C2,CDCA3,0.515,0.03
C2,BORA,0.537,0.074
C2,KIF4B,0.529,0.058
C2,CXXC4,0.772,0.544
C2,CDCA2,0.519,0.038
C2,BUB1,0.518,0.036
C2,ARHGAP11B,0.505,0.01
C2,CDC25B,0.441,0.119
C2,KIF2C,0.479,0.042
C2,GPSM2,0.428,0.144
C2,NUF2,0.517,0.034
C2,HMMR,0.568,0.136
C2,CENPE,0.539,0.077
C2,CDC25C,0.51,0.02
C2,EFNB2,0.448,0.104
C2,CNTNAP2,0.453,0.094
C2,DTL,0.726,0.451
C2,WDR76,0.696,0.391
C2,NME1,0.572,0.145
C2,FABP5,0.54,0.08
C2,MCM3,0.719,0.438
C2,PPIA,0.529,0.058
C2,NGFRAP1,0.552,0.104
C2,ANLN,0.533,0.066
C2,KIF23,0.511,0.023
C2,PBK,0.511,0.022
C2,RAD21,0.551,0.101
C2,NUBP2,0.678,0.357
C2,FLYWCH2,0.606,0.213
C2,RCN3,0.501,0.002
C2,C19orf60,0.57,0.14
C2,TTYH3,0.644,0.287
C2,AP2S1,0.626,0.252
C2,MRPL12,0.672,0.345
C2,DRAP1,0.573,0.146
C2,C9orf142,0.694,0.388
C2,GPAA1,0.573,0.147
C2,LAMA4,0.509,0.018
C2,IER2,0.55,0.1
C2,ALKBH7,0.596,0.192
C2,BAD,0.678,0.355
C2,C20orf27,0.645,0.29
C2,CTSD,0.62,0.239
C2,H2AFY2,0.734,0.468
C2,MCM2,0.741,0.482
C2,TUBB3,0.637,0.273
C2,MRPL41,0.571,0.141
C2,UNG,0.69,0.379
C2,EIF3F,0.58,0.161
C2,FLNA,0.666,0.333
C2,PDLIM7,0.612,0.224
C2,PCBP4,0.682,0.365
C2,MRPS26,0.638,0.276
C2,JUNB,0.491,0.019
C2,DBN1,0.595,0.19
C2,SNRPB,0.77,0.54
C2,MZT2B,0.579,0.158
C2,FAM195B,0.666,0.331
C2,C7orf50,0.66,0.321
C2,CYB5R3,0.561,0.123
C2,CCND1,0.779,0.559
C2,C9orf16,0.668,0.336
C2,PFN1,0.533,0.066
C2,LIMD2,0.622,0.244
C2,COPE,0.647,0.295
C2,SCAND1,0.557,0.114
C2,CCDC124,0.651,0.303
C2,POTEE,0.519,0.038
C2,POTEJ,0.571,0.142
C2,MEIS1,0.631,0.261
C2,ZFHX3,0.549,0.097
C2,SRSF6,0.507,0.014
C2,DERA,0.645,0.289
C2,CLSPN,0.722,0.444
